ic50,cc50,si,log_ic50,log_cc50,log_si,ic50_gt_median,cc50_gt_median,si_gt_median,si_gt_8,group
6.239373566893883,175.4823815688905,28.125,0.7951409887051732,2.244233519824592,1.449092531119419,0,0,1,1,0
0.7718312468161961,5.402818727713373,7.000000000000001,-0.1124776434309128,0.7326203965833441,0.8450980400142569,0,0,1,0,1
223.8087777802645,161.1423200017905,0.72,2.349877115555938,2.2072096119872064,-0.14266750356873156,1,0,0,0,2
1.705624296116444,107.8556540191281,63.23529411764706,0.2318833737877014,2.0328429166610515,1.8009595428733502,0,0,1,1,3
107.1315318094944,139.2709913523427,1.3,2.0299173146730594,2.143860666979896,0.11394335230683678,1,0,0,0,4
15.03791057255341,30.07582114510681,2.0,1.1771874978348635,1.4782174934988448,0.3010299956639812,0,0,0,0,5
18.90816681541091,14.5592884478664,0.7700000000000001,1.2766494251674152,1.1631401503398968,-0.11350927482751805,0,0,0,0,6
28.77308680552558,23.59393118053097,0.82,1.4589864559360117,1.3728003083197282,-0.08618614761628333,0,0,0,0,7
50.05706767794174,153.7092680267687,3.070680628272251,1.6994654052284843,2.1867000544323045,0.4872346492038205,1,0,0,0,8
6.400846618646093,400.9063598812003,62.63333333333334,0.8062374204665714,2.6030429458474345,1.7968055253808632,0,0,1,1,9
4.185789245511488,32.88834407187598,7.857142857142859,0.6217773578259802,1.5170420073059672,0.8952646494799872,0,0,1,0,10
43.52245819713544,72.43597937705059,1.664335664335664,1.6387134168211366,1.8599543364125866,0.22124091959145004,0,0,0,0,11
208.3685902860044,634.6251480792013,3.045685279187818,2.3188322535260015,2.8025172777480525,0.4836850242220508,1,1,0,0,12
1.128846544600727,5.76966011684816,5.111111111111111,0.05263490794554661,0.7611502301877957,0.7085153222422491,0,0,1,0,13
10.63644626660736,79.0481347541047,7.431818181818182,1.0267965504590002,1.897891626633099,0.8710950761740986,0,0,1,0,14
110.1406152517157,110.1406152517157,1.0,2.0419474981456163,2.0419474981456163,0.0,1,0,0,0,15
3.228105375292082,10.42926352017442,3.23076923076923,0.5089477029896037,1.0182536410806673,0.5093059380910636,0,0,0,0,16
40.3930663212363,1160.72029658725,28.73563218390805,1.6063068226140549,3.064727578667474,1.4584207560534193,0,1,1,1,17
751.9682769649559,751.9682769649559,1.0,2.876199519541548,2.876199519541548,0.0,1,1,0,0,18
64.13053539079958,283.6288627077631,4.422680412371134,1.8070648656197081,2.4527504235381876,0.6456855579184794,1,0,1,0,19
303.4630489111032,244.6216298411943,0.8061002178649236,2.4821058168907246,2.3884948554204586,-0.09361096147026633,1,0,0,0,20
13.83891502906172,145.6381057820305,10.52380952380952,1.1411020427679965,2.163275021719188,1.0221729789511913,0,0,1,1,21
83.3193041126066,1426.700412887099,17.12328767123288,1.920745634039546,3.1543327869271462,1.2335871528876006,1,1,1,1,22
440.3980869436373,1067.107887927605,2.423052959501558,2.6438454237610527,3.028208330167622,0.3843629064065689,1,1,0,0,23
1400.218964282481,1371.956657145287,0.9798157946306093,3.1461959553523937,3.137340391356181,-0.008855563996212713,1,1,0,0,23
1371.956657145287,1371.956657145287,1.0,3.137340391356181,3.137340391356181,0.0,1,1,0,0,23
466.4652634293977,836.8935608586254,1.794117647058824,2.6688193083984357,2.922670226366948,0.253850917968512,1,1,0,0,23
288.6611032050042,447.7133710709616,1.551,2.4603882670760306,2.6510000648896352,0.19061179781360493,1,1,0,0,24
1472.457162890573,2191.156492396687,1.488095238095238,3.168042669034109,3.340673395980284,0.17263072694617468,1,1,0,0,25
4095.188562957381,4095.188562957381,1.0,3.6122739036462534,3.6122739036462534,0.0,1,1,0,0,26
4128.529376550779,4128.529376550779,1.0,3.615795379165311,3.615795379165311,0.0,1,1,0,0,27
1936.355855733744,1936.355855733744,1.0,3.286985173209828,3.286985173209828,0.0,1,1,0,0,28
1.748194988674194,15.48401275682857,8.857142857142858,0.24258987096568296,1.1898835204496798,0.9472936494839971,0,0,1,1,29
5.244584966022582,27.47163553630876,5.238095238095238,0.7197111256853453,1.438884516109651,0.7191733904243057,0,0,1,0,29
21.91009266508525,71.57296937261181,3.266666666666667,1.3406442143407185,1.8547490353135507,0.5141048209728325,0,0,0,0,30
7.887633359430688,40.02243593488905,5.074074074074074,0.8969467151080055,1.602303518105425,0.7053568029974195,0,0,1,0,30
2.140925212724708,6.422775638174124,3.0,0.3306014966880565,0.807722751407719,0.47712125471966244,0,0,0,0,31
4.777996889958388,33.01161487607613,6.909090909090908,0.6792458627277247,1.518666769850291,0.8394209071225662,0,0,1,0,32
